;avg latency (quantile 0.5);WorkerCount;denormalizedPredictedResponseTimeAdded0Worker;denormalizedPredictedResponseTimeAdded-1Worker;denormalizedPredictedResponseTimeAdded-2Worker;denormalizedPredictedResponseTimeAdded-3Worker;denormalizedPredictedResponseTimeAdded1Worker;denormalizedPredictedResponseTimeAdded2Worker;denormalizedPredictedResponseTimeAdded3Worker;denormalizedPredictedResponseTimeAdded4Worker;denormalizedPredictedResponseTimeAdded5Worker;advice;postScaledTargetVariable
121;2579063.434;3.0;3310599.3512036344;2966985.389387728;4948547.357484224;2866718.735904765;3021301.7656533113;1593470.9348868565;4953266.7021089345;720429.043796227;4836366.271693794;0;
122;5194598.0474999985;3.0;3206676.722135932;2974233.1222197795;4359492.362653645;4906565.676393012;2963890.49651558;1058971.2275916422;4957970.356484533;-1533406.2822705389;4958088.501235523;1;2963890.49651558
123;4810530.986666667;3.0;2287637.3916063528;3742749.9760751333;2732762.0713735768;4985146.578597085;3026507.2984387493;795030.1438900545;4956682.739175087;-1541163.5917915306;4958088.497483382;1;3026507.2984387493
124;3424305.8075;3.0;2761639.8345415993;2916662.815337397;4475170.1508292435;4003781.895880832;2825180.918551592;1420818.3212335852;4826821.020812841;2402786.914026466;3046274.923354704;0;
125;4288594.397;3.0;3511531.6444762205;2972480.4487960804;4728784.31314788;4801564.40941499;2983381.16183962;1490349.5751927972;4957679.773345296;268058.2465921561;4958088.449173082;1;2983381.16183962
126;3571276.475;3.0;3550140.113676684;2967429.356595777;5116541.630841716;2551729.7796325716;3270021.5827277754;2554952.39051581;4918470.298358554;3065374.953528854;2324841.314510821;0;
127;4773413.033999999;4.0;2549374.6843834394;1947464.9700788646;2362593.720867616;1167192.515971374;2021079.220955281;2404418.2696344317;3777465.2985711377;1914760.491524401;3905253.4970314032;1;2021079.220955281
128;4845174.590999999;4.0;3035802.109091371;3552175.2566201575;3697805.421566486;980394.6247105359;2004717.9464636487;4169465.4515158674;77842.45095959815;6601613.775711273;-1545242.2276210699;1;2004717.9464636487
130;4589078.250499999;5.0;2224406.6049134396;1488770.2764600625;3305902.472800793;-1237993.6439172179;2257654.5012544785;3637004.4528451916;197065.7134216028;4786779.970686758;-1545291.3949768264;1;2257654.5012544785
132;4149119.8366;6.0;2351283.0557695986;2272852.661281142;2645747.028736926;3001624.676075349;2233459.4919916363;2739596.494607083;2538875.8853865135;2244857.994777266;3175504.9392046523;1;2233459.4919916363
134;2192227.435;6.0;1941126.3219045876;2279331.5338447844;1731914.304780112;3505061.018469228;2220117.701092265;1785203.854618788;3005851.2650380176;1308715.2780538998;3905249.3623590977;0;
135;1114312.3441666665;6.0;1900456.6175243407;2233127.112657924;1791757.301566699;3399896.5946210553;2207459.9583614063;1841653.3262553555;2959633.5468338635;1313889.6419051948;3904799.669373314;0;
136;431914.10616666666;6.0;1873373.422249408;2019859.0606207761;1956029.7055176294;3184202.6862165974;2140394.603924468;2012943.3053778717;2921217.77747307;1470208.2773566877;3544777.2785149403;-1;2019859.0606207761
137;266484.18239999993;4.0;1781335.3963631603;2609878.7167320857;1812776.7713260138;3910336.620679989;2388185.9170059487;1774708.370333021;3211409.515255443;1312278.4152845398;3905247.86969213;-1;2609878.7167320857
138;99781.2205;4.0;1951173.4392302022;1790119.6740651913;3522005.121662506;1648055.5938462648;1809781.0617754462;5641550.88602511;319975.9099437029;6757414.450493209;-1534505.219255993;-1;1790119.6740651913
139;50113.80266666666;4.0;3090331.2898533302;3135244.94257651;1398204.4437201389;3114342.8972136145;2577374.7164044864;2477165.0984893553;4259206.437385716;2076874.1129939621;3226093.4498599754;-1;3135244.94257651
140;99157.5745;4.0;3115518.35439431;2961045.7224139036;2838617.030188937;3085050.5597632853;2274762.0935935895;2920932.7323503206;2911237.488196684;3574265.160967559;2011575.1657673782;-1;2961045.7224139036
141;81642.16900000001;4.0;2681928.2835822734;4117129.38385174;-152168.0575886937;3127818.764927499;4140829.0088766874;408863.29589921795;4926783.845587799;-1538792.3761543334;4955991.840561265;0;4117129.38385174
142;172836.53699999998;4.0;3059948.30942214;3313515.8817551006;2143389.524147315;3094525.3475056225;2515038.532720422;2550172.1668462222;3777025.1388775897;2903987.9615565003;2288136.083054456;-1;3313515.8817551006
143;195625.11333333337;3.0;2506778.865140598;3154906.557412328;3671762.3271857887;4294262.676385794;2871370.189386917;1312984.8617814877;4930038.134771612;1169127.415600228;4955021.446696761;-1;3154906.557412328
144;2352911.745333333;3.0;2449288.8019372686;3067283.784829364;3645958.7986441134;4564261.143419169;2892352.9679722316;1328407.9489512346;4932179.93929585;-809.7000695098502;4957939.454929777;0;
145;2866807.195666666;3.0;2398085.2820343436;4470578.202093681;2121224.8351065493;5745732.73106794;3759903.7935872287;782484.7598396403;4943512.636661715;-1537938.5208571067;4958072.6827068925;0;
146;2556538.6725;3.0;2062476.3666696092;4408271.260968025;1572115.6195747948;6687513.735670925;3454893.4138285173;487332.9588448225;4958094.238416264;-1545295.5186669908;6757942.305057706;0;
147;4054422.7865;3.0;3893547.5009759744;2384272.2022342314;3635182.821269201;3688120.262735618;2535335.3330733916;3030053.3132395283;4052887.1563352505;2532823.5790617554;2335359.1148251398;1;2535335.3330733916
149;2778690.2225;3.0;3257822.8208877277;2964939.2709666444;4666532.29447632;4499062.181527638;2950132.362140929;1356192.5204419072;4956211.178881751;388270.3488055543;4958057.219891859;0;
