timestamp,PktIn,KBIn,AVG_RR,Inter,CTXSW,KBOut,CPU,SUM_RR,PktOut,vm_number,AVG_LAT_05
1566913182,0.25,0.028076171875,0.05,245.025,819.2,0.431201171875,6.224999999999881,0.1,0.2,2,3192.7070000000012
1566913197,0.275,0.0291015625,0.05,260.125,866.65,0.432177734375,6.624999999999943,0.1,0.225,2,3192.7070000000012
1566913213,0.3,0.030126953125,0.05,207.6,743.15,0.4330810546875,4.050000000000011,0.1,0.25,2,3035.6685
1566913228,0.25,0.028076171875,0.05,196.95,734.7249999999997,0.431005859375,3.8000000000000966,0.1,0.2,2,3035.6685
1566913243,0.275,0.0291015625,0.05,197.6,734.2,0.4324462890625,3.799999999999813,0.1,0.225,2,3035.6685
1566913259,0.3,0.030126953125,0.05,204.625,751.7,0.433154296875,4.024999999999892,0.1,0.25,2,3004.7565
1566913274,0.275,0.0291015625,0.05,214.05,769.95,0.432080078125,4.17500000000004,0.1,0.225,2,2794.425
1566913290,0.275,0.0291015625,0.05,201.15,727.0,0.4320556640625,4.000000000000057,0.1,0.225,2,2794.425
1566913305,0.325,0.0318359375,0.05,198.175,727.525,0.4333984375,3.8250000000002164,0.1,0.25,2,2814.9135
1566913321,0.275,0.0291015625,0.05,213.25,783.675,0.43251953125,4.200000000000017,0.1,0.225,3,2794.425
1566913336,0.3,0.030810546875,0.05,209.35,764.7750000000003,0.4325439453125,4.274999999999949,0.1,0.225,3,2794.425
1566913351,0.275,0.0291015625,0.05,205.625,751.0,0.43232421875,4.124999999999802,0.1,0.225,3,2794.425
1566913367,0.25,0.028076171875,0.05,210.85,748.8499999999997,0.4313232421875,4.075000000000131,0.1,0.2,3,2701.573
1566913398,0.2750225033755063,0.029103822360463445,0.03613458333333334,209.2151635245287,751.2296419462918,0.4327961962849115,4.06779516927552,0.1084175,0.22501875281292194,3,28024.277000000002
1566913413,0.275,0.0291015625,0.038277361111111116,198.15,737.775,0.4323486328125,3.899999999999864,0.11484833333333333,0.225,3,28024.277
1566913429,0.2999958335416562,0.030582214378864388,0.04043008333999987,233.5132843357832,840.3379922670532,0.4319752436857324,4.4016024198790324,0.12130441668666628,0.2499966668333249,3,17550.657
1566913444,0.3000050002500125,0.03058318443265913,0.04257611111111111,240.953598513259,893.5466198309915,0.4313874425817645,4.3317340867044765,0.12774791666666668,0.2333375002083438,3,17550.657
1566913459,0.3000050002500125,0.03012745526599247,0.5328438541666667,327.6702651799256,959.4466198309917,0.4331615311234312,6.998400753370959,1.5987639583333335,0.2500041668750104,3,3503.698
1566913475,0.2833333333333333,0.029899088541666667,1.7214257291666666,1125.5666666666666,1724.6,0.43095703125,17.566666666666652,5.1644994791666665,0.21666666666666667,3,3510.6706666666664
1566913490,0.2833333333333333,0.029899088541666667,2.8803989722222223,1249.35,1832.5166666666669,0.4330729166666665,18.33333333333339,8.642692583333332,0.25,3,4797.358
1566913506,0.31666666666666665,0.031266276041666666,4.605546222222221,1266.4,1892.3833333333328,0.43487955729166666,18.76666666666691,13.818446416666667,0.2833333333333333,3,3510.6706666666664
1566913521,0.2833333333333333,0.029443359375,5.853032100865352,1148.85,1722.2333333333331,0.4322916666666666,16.566666666666492,17.560211052596053,0.2333333333333333,3,3656.823
1566913537,0.25,0.028076171875,6.885992916666668,883.9,1508.6,0.4318522135416665,14.983333333333302,20.660367583333336,0.21666666666666667,3,3653.2163333333333
