sep=;
Time;AVG RR;SUM RR;stddev q0.9;stddev q0.5;avg latency (quantile 0.9);avg latency (quantile 0.5);CPU;Inter;CTXSW;KBIn;PktIn;KBOut;PktOut;Worker count
2019-07-24T14:43:08+02:00;0.015644166666666667;0.015644166666666667;0;0;11466.273;11466.273;6.604669766511677;952.2523873806309;2098.2950852457375;0.024559318909054547;0.24998750062496874;0.4230745493975301;0.19999000049997498;1
2019-07-24T14:44:08+02:00;0.07112462449324818;0.07112462449324818;0;0;36820.52;11506.476;7.942779972990493;954.1339468814085;2094.0329115190316;0.022517646801380485;0.20007002450857803;0.42348806457260046;0.15005251838143352;1
2019-07-24T14:45:08+02:00;0.4200084001680034;0.4200084001680034;0;0;36820.52;11565.277;4.910736610491568;845.5768365254788;1932.739910986648;0.024564231509726458;0.25003750562584387;0.4264799876231435;0.2000300045006751;1
2019-07-24T14:46:08+02:00;1.3400536021440856;1.3400536021440856;0;0;16507.73;11506.476;5.500000000000043;890.25;2023.3;0.022509765625;0.2;0.42421875;0.15;1
2019-07-24T14:47:08+02:00;13.79958601241963;13.79958601241963;0;0;16618.598;11506.476;50.2274886255688;5235.538223088845;7971.651417429128;0.027781814034298285;0.2999850007499625;0.43020309922003896;0.24998750062496874;1
2019-07-24T14:48:08+02:00;31.789682103178965;31.789682103178965;0;0;19259.819;11565.277;51.8572214167875;5347.597860320951;8181.622756586512;0.022506389666550018;0.1999700044993251;0.42820725328700693;0.1999700044993251;1
2019-07-24T14:49:08+02:00;32.07064141282826;32.07064141282826;0;0;22960.628;13104.28;50.674999999999955;4886.15;7829.25;0.024560546875;0.25;0.431396484375;0.25;1
2019-07-24T14:50:08+02:00;32.05967940320597;32.05967940320597;0;0;22185.823;11996.269;49.24022793162065;5384.034789563131;8139.958012596221;0.022503014720583824;0.19994001799460162;0.4287288032340298;0.19994001799460162;1
2019-07-24T14:51:08+02:00;32.05032050320503;32.05032050320503;0;0;32649.398;13166.231;51.12988701129898;5402.809719028098;8073.292670732927;0.024558091065893413;0.24997500249975005;0.4315974652534747;0.24997500249975005;1
2019-07-24T14:52:08+02:00;32.02871885124595;32.02871885124595;0;0;32649.398;13166.231;48.861646234675874;4862.646985238929;7811.0082561921445;0.02252666062046535;0.20015011258443832;0.42922817112834627;0.20015011258443832;1
2019-07-24T14:53:08+02:00;32.040320403204035;32.040320403204035;0;0;32649.398;14688.213;51.62016201620171;5188.768876887689;8052.3552355235515;0.027785981723172315;0.3000300030003;0.4310001312631263;0.25002500250025;1
